petal_length,petal_width,sepal_length,sepal_width,species
3.4,1.4,5.3,2.9,valentia
1.6,0.2,5.0,3.9,rosetta
4.5,1.2,5.7,2.4,valentia
5.6,2.0,7.1,2.8,borealis
1.4,0.2,5.1,3.8,rosetta
1.5,0.2,4.4,3.9,rosetta
1.5,0.3,4.9,3.3,rosetta
4.8,1.5,5.7,3.0,valentia
4.7,2.1,6.4,3.1,borealis
1.7,0.4,4.7,3.4,rosetta
6.0,2.2,6.2,2.9,borealis
4.7,1.5,6.0,3.3,valentia
5.5,1.7,6.7,2.8,borealis
4.3,1.3,6.0,3.0,valentia
3.9,1.3,5.5,2.8,valentia
5.8,1.9,7.3,3.1,borealis
1.6,0.2,4.4,3.7,rosetta
4.4,1.4,5.5,3.0,valentia
5.0,2.0,6.4,2.4,borealis
3.5,1.4,5.1,2.9,valentia
4.9,1.0,5.4,2.6,valentia
3.7,1.3,5.4,2.5,valentia
4.8,1.9,6.1,3.3,borealis
4.8,1.6,5.8,2.8,valentia
2.0,0.3,5.6,3.6,rosetta
6.1,2.4,6.9,2.8,borealis
3.8,1.2,5.4,2.9,valentia
1.1,0.2,5.5,3.6,rosetta
5.8,1.9,6.6,3.2,borealis
6.1,1.7,6.6,3.6,borealis
4.7,1.7,5.6,3.2,valentia
4.6,1.6,6.1,2.6,valentia
4.7,1.0,6.0,3.1,valentia
