area_m2,bedrooms,age_years,distance_km,price_k
131.6,2,23,13.9,243.5
189.6,5,52,14.8,321.0
134.9,4,17,3.1,290.2
64.2,5,32,6.3,167.7
191.3,2,5,4.1,400.1
212.9,2,16,15.4,419.3
206.6,5,58,18.2,346.7
170.7,1,14,9.4,301.3
184.5,2,7,10.0,405.3
55.0,3,11,21.9,70.0
105.2,5,25,11.5,216.0
167.1,5,55,8.5,336.6
217.8,3,41,13.8,412.6
166.7,4,5,1.5,394.0
119.1,4,18,24.3,187.2
179.8,1,2,13.6,319.9
85.5,1,10,14.7,134.7
195.7,3,10,18.2,352.2
131.4,3,0,10.5,239.3
133.8,3,13,4.8,333.7
75.4,3,33,4.5,172.4
144.5,2,16,3.4,295.4
217.8,1,59,18.5,330.8
139.6,2,7,23.7,201.6
186.7,5,29,20.7,342.7
71.5,5,30,4.1,187.6
173.5,4,55,24.3,285.9
105.3,2,42,7.3,192.3
101.9,4,20,10.6,234.0
163.4,2,26,19.1,280.0
212.5,5,55,18.0,364.4
87.6,2,53,16.6,103.2
77.9,5,27,10.9,150.9
114.5,3,0,24.0,167.7
84.0,4,2,7.2,183.6
35.7,5,37,17.2,56.9
47.1,4,10,22.2,73.5
70.0,4,20,10.8,148.9
169.1,3,11,18.8,321.6
55.9,5,2,22.0,164.4
204.7,4,43,15.0,376.1
84.1,4,33,9.0,174.5
200.0,1,38,23.6,292.6
103.3,5,30,24.7,145.2
119.6,2,5,6.1,280.9
160.3,5,55,6.8,329.0
139.2,2,57,17.5,235.3
105.6,1,17,16.8,154.1
215.3,4,52,11.7,404.8
109.2,1,57,12.3,180.2
210.2,4,41,4.6,390.2
216.7,1,15,5.1,436.7
145.1,1,13,0.6,285.2
192.6,1,36,7.0,329.1
136.7,4,8,11.0,280.9
49.8,5,37,19.9,73.8
176.2,3,24,3.2,381.9
70.5,2,42,9.0,92.9
157.1,5,54,24.7,255.9
148.8,5,15,7.9,335.9
162.5,4,21,7.5,345.6
