months_active,monthly_hours,support_tickets,plan,cancelled
14,17.2,12,plus,yes
24,11.0,0,pro,no
29,26.8,1,pro,no
41,,3,plus,no
30,20.3,1,basic,no
21,53.5,3,plus,no
30,28.6,7,basic,yes
47,35.1,1,basic,no
38,56.7,7,plus,no
47,,4,pro,no
16,3.8,1,plus,yes
9,35.9,1,plus,no
15,42.0,9,basic,yes
42,51.5,1,plus,no
15,28.6,0,plus,no
29,36.7,1,plus,no
43,42.7,3,pro,no
26,41.9,3,plus,no
6,42.7,1,plus,no
16,4.6,1,plus,yes
28,,2,plus,no
19,41.3,0,basic,no
32,,0,basic,no
11,27.5,2,pro,yes
41,,0,plus,no
9,5.6,1,plus,yes
39,,4,basic,no
5,12.3,0,plus,yes
15,55.7,2,pro,no
2,31.9,1,basic,yes
3,9.3,3,pro,yes
9,14.6,0,basic,yes
14,5.3,0,plus,yes
9,58.8,2,basic,no
24,51.1,5,basic,yes
20,39.6,1,pro,no
48,34.8,0,basic,no
9,48.9,2,plus,no
28,40.4,1,plus,no
4,24.0,1,basic,yes
11,22.1,4,plus,yes
30,27.3,6,plus,yes
22,1.4,2,basic,yes
1,49.2,0,plus,no
48,17.1,12,plus,yes
28,47.4,6,plus,no
45,39.4,1,basic,no
20,47.3,1,plus,no
7,47.3,1,basic,no
45,43.7,0,basic,no
12,31.6,0,plus,no
48,14.2,0,basic,no
14,14.2,0,basic,yes
41,20.7,3,basic,yes
37,9.4,2,basic,yes
29,48.9,0,basic,no
9,19.2,0,basic,yes
42,8.8,0,plus,no
15,24.7,0,plus,no
45,5.1,0,plus,no
7,59.8,2,basic,yes
20,36.0,0,basic,no
30,20.3,0,pro,no
37,4.0,1,plus,yes
21,53.8,1,pro,no
19,60.0,4,basic,yes
43,,2,pro,no
13,10.7,0,basic,yes
29,37.6,4,plus,no
44,12.4,0,basic,no
46,48.6,0,pro,no
9,0.5,0,plus,yes
26,6.2,1,plus,no
9,12.8,0,plus,yes
28,30.8,3,plus,no
48,27.3,3,basic,no
31,27.4,3,plus,no
20,39.6,3,basic,yes
6,4.7,0,plus,yes
13,46.8,1,basic,yes
15,33.6,3,basic,yes
48,1.9,3,plus,no
47,33.8,2,plus,no
34,34.2,0,plus,no
24,26.3,0,plus,no
14,6.5,2,basic,yes
26,2.0,0,pro,no
23,15.1,9,plus,yes
32,11.6,0,basic,no
19,42.2,1,plus,no
47,46.4,2,basic,no
12,30.9,5,plus,yes
34,49.5,0,basic,no
8,8.8,2,basic,yes
40,16.6,1,plus,no
21,9.2,4,basic,yes
24,17.5,0,plus,no
27,4.9,0,basic,yes
16,46.6,0,basic,no
13,23.9,0,plus,yes
23,31.5,0,basic,no
14,28.0,1,basic,yes
6,47.9,2,plus,no
8,5.2,0,basic,yes
40,49.7,0,pro,no
31,43.2,3,plus,no
15,29.3,0,plus,no
48,51.9,0,pro,no
40,57.5,8,plus,no
41,45.2,1,pro,no
30,20.3,12,pro,yes
9,52.2,1,plus,no
21,14.2,2,pro,no
10,58.5,3,basic,yes
44,8.7,1,plus,no
28,,1,plus,no
8,38.5,3,pro,no
11,11.4,0,basic,yes
30,58.3,2,basic,no
17,47.8,0,basic,no
26,,2,basic,no
16,,0,basic,yes
3,36.2,1,plus,yes
31,44.1,1,basic,no
2,33.0,3,pro,no
28,36.0,2,pro,no
26,2.0,0,basic,yes
41,,4,basic,no
35,30.8,3,basic,yes
39,54.5,2,pro,no
13,43.0,1,pro,no
18,25.5,0,basic,yes
17,1.5,3,basic,yes
5,17.3,3,pro,no
13,47.1,1,pro,no
6,32.0,1,basic,yes
18,12.6,0,basic,yes
22,34.4,3,plus,no
24,49.0,4,plus,no
22,33.2,0,plus,no
46,17.1,2,basic,no
43,47.6,2,basic,no
15,17.1,1,plus,no
40,29.1,0,basic,no
19,24.9,4,plus,yes
14,2.4,2,basic,yes
39,23.8,1,basic,no
6,33.3,3,plus,no
24,3.7,1,pro,no
21,27.3,1,basic,yes
45,,3,basic,yes
16,27.4,1,basic,yes
3,6.0,5,basic,yes
34,43.0,3,plus,no
17,4.0,0,plus,yes
44,28.8,1,pro,no
40,19.3,3,plus,no
15,25.4,5,basic,yes
25,,1,plus,no
48,14.2,0,pro,no
47,52.4,0,pro,no
3,58.1,8,basic,yes
9,,0,pro,no
9,23.9,3,plus,yes
43,50.9,0,basic,no
16,24.7,0,basic,no
36,,5,plus,yes
34,27.9,0,basic,no
45,59.9,2,basic,no
28,,1,plus,no
23,41.2,0,basic,no
22,20.4,1,plus,no
22,32.5,4,basic,yes
25,14.6,1,pro,no
40,42.6,4,plus,no
47,51.8,2,basic,no
15,53.0,1,pro,no
31,1.0,2,pro,no
10,43.4,3,basic,yes
20,29.3,1,plus,yes
24,41.1,2,plus,no
15,30.5,3,pro,yes
16,56.3,7,pro,no
29,59.9,0,pro,no
41,51.9,0,plus,no
34,16.2,2,plus,no
2,20.2,0,pro,yes
30,55.8,1,basic,no
21,39.2,0,plus,no
14,18.3,2,plus,yes
26,50.0,0,plus,no
5,34.7,0,pro,no
6,50.8,0,pro,no
12,18.9,10,basic,yes
46,30.3,6,plus,yes
38,12.7,0,pro,no
9,10.6,2,plus,yes
17,58.6,1,pro,no
2,59.6,2,pro,no
47,2.8,5,basic,no
45,15.0,5,pro,no
20,54.8,3,basic,no
10,42.2,3,basic,no
30,23.8,2,pro,no
26,40.2,1,pro,no
46,28.0,1,basic,no
28,34.6,4,basic,yes
17,54.6,0,basic,no
40,10.4,0,basic,no
31,47.9,1,plus,no
36,45.0,0,basic,no
19,9.7,0,basic,yes
21,5.1,3,pro,yes
42,14.0,4,pro,no
19,7.4,2,basic,yes
1,35.8,1,plus,no
10,53.5,0,basic,no
10,56.5,0,plus,no
35,43.5,4,plus,no
36,4.6,2,basic,no
36,47.8,0,basic,no
3,46.8,3,basic,yes
43,3.0,1,plus,no
5,21.8,2,plus,yes
16,52.0,3,basic,no
23,13.3,0,basic,yes
2,39.5,4,plus,yes
46,48.3,3,basic,no
43,5.3,1,pro,no
19,51.6,1,basic,no
35,3.1,1,pro,no
22,14.4,1,plus,yes
5,26.3,1,plus,no
42,23.9,4,plus,no
17,58.5,1,plus,no
26,12.1,6,plus,yes
31,39.8,0,basic,no
5,30.1,1,basic,yes
22,42.2,0,plus,no
8,8.6,2,basic,yes
33,28.5,0,plus,no
